x,t,S_0,V_0,E_0,I_0,R_0,S,V,E,I,R
-0.1,18,0.855623419,0.099491095,0,0.039601993,0,0.000692583,0.000368881,0.6749084,1.407365828,2.047567003
0,18,0.86,0.1,0,0.04,0,0.000644638,0.000345993,0.679719528,1.419994538,2.073208075
0.1,18,0.855623419,0.099491095,0,0.039601993,0,0.000692583,0.000368881,0.6749084,1.407365828,2.047567003
0.2,18,0.84262686,0.097979867,0,0.038431578,0,0.00085569,0.000445539,0.660608577,1.369787409,1.971912595
0.3,18,0.821403138,0.095511993,0,0.036557247,0,0.001202364,0.00060358,0.637199857,1.308164583,1.850011546
0.4,18,0.792584985,0.092161045,0,0.034085752,0,0.00188705,0.000902337,0.605240552,1.22395579,1.688012596
0.5,18,0.757013713,0.08802485,0,0.031152031,0,0.003227853,0.001456138,0.565339909,1.119134411,1.494261444
0.6,18,0.715698451,0.08322075,0,0.027907053,0,0.005838478,0.002468414,0.517965219,0.996229427,1.279044628
0.7,18,0.669768673,0.077880078,0,0.024505056,0,0.010783501,0.004259432,0.463242823,0.858569865,1.054224652
0.8,18,0.62042317,0.072142229,0,0.021091697,0,0.019576334,0.007229371,0.400998733,0.710863186,0.832649307
0.9,18,0.568878616,0.066148676,0,0.017794323,0,0.033609858,0.011657197,0.331526486,0.560020303,0.627117197
1,18,0.516320815,0.060037304,0,0.014715178,0,0.052732992,0.017315614,0.257305031,0.415524568,0.4487025
1.1,18,0.463861238,0.053937353,0,0.011927891,0,0.073852699,0.023197448,0.184380559,0.288071653,0.304647236
1.2,18,0.412500951,0.047965227,0,0.00947711,0,0.091657697,0.027846208,0.1208637,0.186116466,0.196782457
1.3,18,0.363103345,0.042221319,0,0.007380781,0,0.101761141,0.030206345,0.07263659,0.11252513,0.121675912
1.4,18,0.316376319,0.036787944,0,0.005634337,0,0.103138722,0.030155827,0.040503063,0.064265357,0.07262346
1.5,18,0.272863919,0.031728363,0,0.004215969,0,0.097653188,0.028286786,0.021297002,0.035072318,0.042207336
1.6,18,0.232946762,0.027086833,0,0.00309219,0,0.08810598,0.025380589,0.010723531,0.018489333,0.024071956
1.7,18,0.196850113,0.022889548,0,0.002223049,0,0.076860319,0.022070729,0.00523422,0.009498476,0.013557269
1.8,18,0.164658094,0.01914629,0,0.001566556,0,0.065455622,0.018762112,0.002498255,0.004785822,0.007576033
1.9,18,0.13633235,0.015852599,0,0.001082074,0,0.05474025,0.015674985,0.00117271,0.002375489,0.004215308
2,18,0.111733443,0.012992261,0,0.000732626,0,0.045112024,0.012910782,0.00054332,0.001164947,0.0023409
2.1,18,0.090643333,0.010539922,0,0.000486207,0,0.036708515,0.010502552,0.00024893,0.000565472,0.001299479
2.2,18,0.072787529,0.008463666,0,0.000316282,0,0.029526663,0.008446363,0.000112874,0.00027199,0.000721656
2.3,18,0.057855747,0.006727412,0,0.00020167,0,0.02349109,0.006719216,5.06E-05,0.00012973,0.000400978
2.4,18,0.045520232,0.00529305,0,0.000126044,0,0.018491869,0.005289009,2.25E-05,6.14E-05,0.000222816
2.5,18,0.035451192,0.004122232,0,7.72E-05,0,0.014405498,0.004120118,9.85E-06,2.88E-05,0.000123707
2.6,18,0.02732912,0.003177805,0,4.64E-05,0,0.011106823,0.003176615,4.26E-06,1.35E-05,6.85E-05
2.7,18,0.020853976,0.002424881,0,2.73E-05,0,0.00847598,0.002424158,1.81E-06,6.27E-06,3.78E-05
2.8,18,0.015751449,0.001831564,0,1.57E-05,0,0.006402385,0.001831095,7.60E-07,2.95E-06,2.09E-05
