"x","SVEIR_Synth_Data","Out_SVEIR_t0","Out_SVEIR_t6","Out_SVEIR_t12","Out_SVEIR_t18","Out_SVEIR_t24","Out_SVEIR_t30","Out_SVEIR_t36","Out_SVEIR_t42","Out_SVEIR_t48","Out_SVEIR_t54","Out_SVEIR_t60"
-0.2,0.0979798673853705,0.0979798673853705,0.076294104940931,0.0161921382097782,0.000445539075677911,4.59819989214129e-06,3.63818654195148e-08,4.69956437648017e-11,7.99862463366138e-10,6.26894201157224e-10,6.56176421388062e-10,-2.17464039915213e-10
-0.0999999999999996,0.0994910952487073,0.0994910952487073,0.0765595968682017,0.0150619158033171,0.000368881260683117,3.41045516940255e-06,2.45325454092946e-08,-1.84170386473146e-10,9.81713574427056e-10,6.29484967625509e-10,8.34367518280241e-10,-3.17688689699095e-10
0,0.1,0.1,0.0766384689321849,0.014691995644934,0.00034599287739412,3.08278401075223e-06,2.1488198566698e-08,-2.52967935681516e-10,1.05997976694235e-09,6.41937804616825e-10,9.15575791560348e-10,-3.65333240070114e-10
0.1,0.0994910952487073,0.0994910952487073,0.0765595968682017,0.0150619158033171,0.000368881260683117,3.41045516940256e-06,2.45325454092947e-08,-1.84170386473134e-10,9.8171357442706e-10,6.2948496762522e-10,8.34367518280195e-10,-3.1768868969907e-10
0.2,0.0979798673853704,0.0979798673853704,0.076294104940931,0.0161921382097782,0.000445539075677911,4.5981998921413e-06,3.6381865419515e-08,4.69956437646814e-11,7.9986246336639e-10,6.26894201156682e-10,6.56176421388129e-10,-2.17464039915223e-10
0.3,0.0955119927982107,0.0955119927982107,0.0757609481904045,0.0181339159359073,0.000603579786966011,7.46114118621351e-06,6.9289779337678e-08,5.95760934935509e-10,6.32660664813882e-10,6.07275481158862e-10,4.89638816494865e-10,-1.28070720955837e-10
0.4,0.0921610447297725,0.0921610447297725,0.0748430829251673,0.0209357831604573,0.000902336687301651,1.42724261236843e-05,1.65857051978755e-07,2.17928755134922e-09,5.69643137549241e-10,4.28370449416989e-10,3.4741224081468e-10,-6.27663293319825e-11
0.5,0.088024850405056,0.088024850405056,0.0734121143649121,0.0245814144023286,0.00145613803297774,3.12952842716949e-05,4.82992700056637e-07,8.11294731085574e-09,6.50606035922001e-10,1.12845904753214e-10,1.82602463757074e-10,-1.86942277819071e-11
0.6,0.0832207500690301,0.0832207500690301,0.0713571150448695,0.0289045414192719,0.00246841381301367,7.59948050552821e-05,1.64017467725709e-06,3.53925216455088e-08,1.27761126879309e-09,-4.74350238722453e-11,3.64021629801262e-11,-1.1235454484478e-12
0.7,0.0778800783071405,0.0778800783071405,0.0686112544273492,0.0335158167993308,0.00425943159788759,0.000196429757071439,6.18076393528323e-06,1.81105268784202e-07,6.04701484617078e-09,2.26438340479647e-10,-3.80712612900509e-12,6.16437523210068e-14
0.8,0.0721422290354756,0.0721422290354756,0.0651694879105948,0.0378076529945914,0.00722937120393238,0.000517417059099769,2.44902649951191e-05,1.03044516727968e-06,4.43922743241427e-08,2.19573254728747e-09,1.04783533359335e-10,1.9178519874942e-12
0.9,0.0661486763057485,0.0661486763057485,0.0610928167352461,0.0410889965713854,0.0116571973472038,0.00132604478249361,9.65037910544083e-05,6.04507473918094e-06,3.68347646819988e-07,2.30318713549752e-08,1.44520940370456e-09,7.06349794863757e-11
1,0.0600373041198404,0.0600373041198404,0.0564989121426488,0.0428130530925512,0.0173156144333703,0.00315185236209841,0.000357585647418729,3.3882775627529e-05,3.03809783448617e-06,2.69977165442357e-07,2.39107925026823e-08,1.99055261625443e-09
1.1,0.0539373532022241,0.0539373532022241,0.0515431259211148,0.0427649089398379,0.0231974476996434,0.00663054100213397,0.00117876755272418,0.000169395138169248,2.25585725383306e-05,2.93266212584202e-06,3.78257449540506e-07,4.81507040097039e-08
1.2,0.0479652268830044,0.0479652268830044,0.0463960575241908,0.041091957802291,0.0278462082459021,0.0118692474072737,0.00327611447108295,0.000710263066228678,0.000139346246053624,2.63509169661144e-05,4.91813743112941e-06,9.13525203146169e-07
1.3,0.0422213192102104,0.0422213192102104,0.0412233203230087,0.0381844359780487,0.0302063449824375,0.0177022147040123,0.00732195983565388,0.00236198065002893,0.000672046336157814,0.000181282150469967,4.78700807630529e-05,1.254528900911e-05
1.4,0.0367879441171442,0.0367879441171442,0.0361708827710689,0.0345085593623322,0.0301558270997437,0.0221352253932807,0.012791272736493,0.00594381856663626,0.00240006380587513,0.000901286880023504,0.000327225956499553,0.000117062073693367
1.5,0.0317283626701565,0.0317283626701565,0.0313568343385228,0.0304830033665341,0.0282867861797855,0.0239296705847184,0.0175856169352839,0.0110484658993617,0.0061022619814799,0.00309892344622185,0.00150063506280849,0.000708645965734092
1.6,0.0270868328470463,0.0270868328470463,0.026868667035843,0.0264247275949133,0.0253805889541265,0.0232891177661697,0.0198721625003288,0.0154582241534686,0.0109587421402026,0.00720296740360601,0.00448951347136479,0.0027043881008808
1.7,0.0228895480667106,0.0228895480667106,0.0227644259673831,0.0225453644638044,0.0220707294858106,0.0211487874464059,0.0195879752153948,0.0173207826703204,0.0145230446399683,0.0115647085287872,0.00881433089242927,0.00649405198211347
1.8,0.0191462899678705,0.0191462899678705,0.0190761030126289,0.0189706274799971,0.0187621116205563,0.0183780648696516,0.0177364160919976,0.0167680010642186,0.0154549385206841,0.0138563628972726,0.0120928369262011,0.0103015680061242
1.9,0.0158525988359242,0.0158525988359242,0.0158140278802019,0.0157642357257514,0.0156749849680448,0.015520877323812,0.0152732677284564,0.0149028314570456,0.0143867562071783,0.0137177992035736,0.0129089783746744,0.0119902736411713
2,0.0129922608305059,0.0129922608305059,0.012971450849645,0.0129482706365962,0.0129107815873362,0.0128504332761009,0.0127583138363767,0.012624956306421,0.0124412699888617,0.0122002433693701,0.0118986828528288,0.0115378969226918
2.1,0.0105399224561864,0.0105399224561864,0.0105288653490504,0.0105181378654699,0.0105025524770867,0.0104792417639203,0.0104456185234306,0.0103990313204783,0.0103367982277321,0.0102564199133066,0.0101559105712612,0.0100340732188276
